2022-12-20 17:22:00 INFO  BuildYourOwnComputerPage :108 - Get product added message : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //p[@class='content']]
2022-12-20 17:22:03 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 17:22:04 INFO  ComputerPage :40 - Click on sub menu : [[[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 17:22:04 INFO  DesktopsPage :58 - Select product : [[[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :63 - Select processor: [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> id: product_attribute_1]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :68 - Select ram : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> id: product_attribute_2]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :75 - Select hdd : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :85 - Select OS : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :95 - Select software : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]
2022-12-20 17:22:05 INFO  BuildYourOwnComputerPage :103 - Click on add to cart button : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 17:22:06 INFO  BuildYourOwnComputerPage :108 - Get product added message : [[ChromeDriver: chrome on WINDOWS (7b7fa279adfafffc565b9b0ab30d7d1a)] -> xpath: //p[@class='content']]
2022-12-20 17:22:09 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 17:22:10 INFO  ComputerPage :40 - Click on sub menu : [[[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 17:22:11 INFO  DesktopsPage :58 - Select product : [[[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 17:22:11 INFO  BuildYourOwnComputerPage :63 - Select processor: [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> id: product_attribute_1]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :68 - Select ram : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> id: product_attribute_2]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :75 - Select hdd : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :85 - Select OS : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :95 - Select software : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :103 - Click on add to cart button : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 17:22:12 INFO  BuildYourOwnComputerPage :108 - Get product added message : [[ChromeDriver: chrome on WINDOWS (ab41a1a50cd0dbad03934d0c211fff13)] -> xpath: //p[@class='content']]
2022-12-20 17:22:15 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (02eb150fb8c539be0d436c2a2f547441)] -> link text: Log in]
2022-12-20 17:22:16 INFO  LoginPage :42 - Get welcome text : [[ChromeDriver: chrome on WINDOWS (02eb150fb8c539be0d436c2a2f547441)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-12-20 17:22:18 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (dfc5a6ff3f616de3ba80692d78eb6669)] -> link text: Log in]
2022-12-20 17:22:19 INFO  LoginPage :48 - Enter email : [[ChromeDriver: chrome on WINDOWS (dfc5a6ff3f616de3ba80692d78eb6669)] -> id: Email]
2022-12-20 17:22:19 INFO  LoginPage :53 - Enter password : [[ChromeDriver: chrome on WINDOWS (dfc5a6ff3f616de3ba80692d78eb6669)] -> name: Password]
2022-12-20 17:22:19 INFO  LoginPage :58 - Click on login button : [[ChromeDriver: chrome on WINDOWS (dfc5a6ff3f616de3ba80692d78eb6669)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 17:22:19 INFO  LoginPage :63 - Get error message : [[ChromeDriver: chrome on WINDOWS (dfc5a6ff3f616de3ba80692d78eb6669)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-12-20 17:22:22 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (adc41d7b0948cbf27ae34443c459866d)] -> link text: Log in]
2022-12-20 17:22:23 INFO  LoginPage :48 - Enter email : [[ChromeDriver: chrome on WINDOWS (adc41d7b0948cbf27ae34443c459866d)] -> id: Email]
2022-12-20 17:22:23 INFO  LoginPage :53 - Enter password : [[ChromeDriver: chrome on WINDOWS (adc41d7b0948cbf27ae34443c459866d)] -> name: Password]
2022-12-20 17:22:24 INFO  LoginPage :58 - Click on login button : [[ChromeDriver: chrome on WINDOWS (adc41d7b0948cbf27ae34443c459866d)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 17:22:24 INFO  HomePage :77 - Check logout link is displayed : [[ChromeDriver: chrome on WINDOWS (adc41d7b0948cbf27ae34443c459866d)] -> xpath: //a[normalize-space()='Log out']]
